Cas,Temperatura (2m),Relativna vlaga (2m),Temperatura rosisca (2m),Obcutna temperatura,Verjetnost padavin,Stevilo nesrec,Average speed,FRC,Free flow speed,Current travel time,Free flow travel time,Confidence,Road closure
2024-05-29T17:00,23.7,45,11.0,25.8,0,32,21,FRC3,21,21,21,1.0,False
2024-05-29T17:00,23.7,46,11.4,25.9,0,28,16,FRC3,21,28,21,1.0,False
2024-05-29T18:00,24.6,42,10.8,25.5,0,33,21,FRC3,21,21,21,1.0,False
2024-05-29T18:00,24.6,42,10.8,25.5,0,29,16,FRC3,20,28,22,1.0,False
2024-05-29T18:00,24.6,42,10.8,25.5,0,26,12,FRC3,20,37,22,1.0,False
2024-06-01T08:00,15.3,45,3.5,12.6,0,2,15,FRC3,21,30,21,0.99,False
2024-06-01T08:00,15.3,45,3.5,12.6,0,2,21,FRC3,21,21,21,1.0,False
2024-06-01T09:00,14.9,46,3.4,11.6,0,3,21,FRC3,21,21,21,1.0,False
2024-06-01T15:00,23.4,33,6.2,21.1,0,10,21,FRC3,21,21,21,1.0,False
2024-06-02T11:00,17.1,60,9.3,16.0,0,2,21,FRC3,21,21,21,1.0,False
2024-06-02T12:00,18.5,71,13.1,19.1,0,2,21,FRC3,21,21,21,1.0,False
2024-06-04T14:00,23.4,77,19.1,26.2,0,20,14,FRC3,21,32,21,1.0,False
2024-06-04T14:00,23.4,77,19.1,26.2,0,25,21,FRC3,21,21,21,1.0,False
2024-06-04T14:00,22.2,77,18.0,23.9,0,32,16,FRC3,21,28,21,1.0,False
2024-06-04T14:00,22.2,77,18.0,23.9,0,27,13,FRC3,20,34,22,1.0,False
2024-06-04T15:00,25.0,69,18.9,28.3,0,23,21,FRC3,21,21,21,1.0,False
